,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
BOK-AS1,-0.030868638,0.07725433,0.04312162,0.44999424,-0.25211656,0.3982787,0.36918297,0.085463434,-0.092452206,0.28252342,-0.3799705,0.1813846,-0.013792396,0.5561509,-0.21779719,0.2744448,-0.03590077,-0.18178031,0.15301979,-0.029719517,0.11771143,-0.1525203,0.38613045,0.39871988,-0.16436985,-0.13216431,0.16160707,0.034806546,-0.42044345,0.10709174,-0.11268598,0.07955657,-0.550687,0.64020693,-0.02505229,0.21082604,0.50943255,-0.16873464,0.41274858,-0.24514322,0.4585024,0.09164044,-0.51683307,-0.39150876,-0.4289294,-0.20203166,0.11089899,-0.20218064,-0.08790248,-0.24207073,0.07808733,0.12358378,-0.0934361,0.004957292,-0.52291644,0.102011435,0.4378036,0.022588372,0.04603704,0.29268587,-0.4159156,-0.4983629,-0.27365443,-0.10573179
CASC2,-0.44443503,0.25142962,0.06120318,-0.69077945,-0.4464023,0.10393795,-0.41384777,0.3068655,0.3523317,0.006145617,-0.16938967,-0.23494196,-0.32870868,0.240895,-0.052215103,0.022386905,0.12314552,-0.011994418,0.1238885,-0.08718118,-0.22442284,0.02389156,0.021499746,-0.00811027,0.20093094,0.18012838,-0.26337278,-0.0231333,0.16738765,0.31034857,-0.16577324,0.06994164,-0.33702832,0.2337026,-0.24358653,-0.5318708,-0.018338643,-0.003583908,0.16496974,0.11648808,-0.10034235,0.7073015,-0.5668248,-0.44643334,0.05856979,0.6305397,-0.20548108,-0.12668267,-0.6827953,-0.18887109,-0.21923208,-0.32786328,-0.4297846,0.09945822,0.053709507,-0.37899312,-0.6183273,-0.5345695,-0.0349319,-0.19226624,-0.81963444,-0.340023,-0.41178945,-0.31367588
CBR3-AS1,-0.1960813,0.07723108,0.5493005,-0.16386296,-0.21787423,-0.124846146,0.0010885503,0.33386847,0.0688225,0.16038582,0.23540202,0.092533395,-0.6782474,0.23037009,0.33590356,0.10545158,-0.26807722,-0.27388072,-0.22669634,-0.26296288,0.0949326,0.03539859,0.33534104,0.19128095,0.13890882,0.31923756,-0.1186948,0.12106118,-0.011892473,0.116432995,-0.021390835,0.079736866,-0.6932345,0.18792199,-0.11403968,-0.24968639,0.015548784,0.24629816,0.12886071,-0.54872924,0.28190833,-0.091201186,-0.314746,-0.35827872,-0.14596103,-0.15525077,0.002973753,-0.0095140375,-0.091850676,-0.028073642,0.18696997,-0.4295146,0.24939509,0.06251979,-0.23582512,-0.23316681,0.32942122,0.18302336,-0.27096158,0.11683322,-0.16353026,-0.23773827,-0.22934212,0.095255286
CCAT1,-0.6663456,-0.35451528,0.34105465,-0.46127212,-0.9433096,-0.6039294,0.021521017,0.16853094,0.5054221,-0.04959114,-0.5089102,-0.43958658,-0.71649295,0.5892319,-0.047168046,0.6347685,0.040853888,-0.38103402,-0.17268194,-0.19029915,-0.5178215,-0.081214495,0.017467462,0.06992612,0.46397418,0.04937476,-0.13007537,0.16215475,-0.06372312,1.0296185,0.057355702,-0.12045394,-0.66801286,0.12114015,-0.073545456,-0.56133795,-0.0681863,0.10005158,0.4071195,-0.323636,-0.4233001,0.07503578,-1.0666003,-0.8365927,0.9518075,0.10472733,-0.37318677,-0.061075494,0.05852896,-0.07866672,-0.029059917,-0.34471238,-0.46698534,-0.03948357,0.16171235,-0.36146188,-0.8815376,-0.31100708,-0.65399396,0.13897112,-0.3921805,0.28901246,-0.50685716,-0.51205647
CCAT2,-0.58557785,-0.21722156,0.46440852,-0.5228926,-0.38865173,-0.7226888,0.6458634,0.68441015,0.28631324,0.46670783,-0.17991,-0.45487237,-0.7590512,0.60926974,0.4378278,0.5682684,-0.03637224,-0.02619959,0.60353136,-0.23580922,-0.24128179,0.58580065,0.6111517,0.13156289,0.094985165,0.19975552,0.060908504,0.49289268,-0.15722588,0.7499994,-0.12868364,-0.14638549,-0.883067,0.4273552,-0.19366443,-0.41250032,-0.3490407,0.045262896,-0.37250865,-0.7303271,0.16488785,-0.18031655,-1.0719047,-0.854023,-0.16863257,0.2532591,-0.4178052,0.044406354,-0.15361749,0.4525289,-0.12275566,-0.7004808,-0.13306601,-0.47371656,0.06287021,-0.49335784,-0.0942754,0.4631266,-0.6266061,-0.13573703,0.020650754,0.063122995,-0.86565983,-0.14019358
CCDC26,0.413175,0.31586325,0.07740245,-0.12244399,-0.47997016,0.38414288,0.4174267,0.24939346,0.34927046,-0.09266043,-0.3469839,-0.5680066,-0.14729322,-0.46784222,-0.02005525,0.44841045,0.19479586,-0.04271154,-0.28899497,-0.088878825,-0.3209865,-0.043322206,0.25390545,0.0580616,-0.039777473,-0.18185328,0.2933532,-0.013516903,-0.5473043,0.8675182,-0.27137995,-0.3937902,-0.2977879,-0.03368126,0.29235247,0.081925966,0.08826658,0.4035121,0.304092,0.12961024,-0.62019104,-0.2502047,0.07957536,-0.3199092,0.5771879,-0.59264594,-0.33288497,0.007833593,0.12304643,-0.5112977,0.27023745,-0.12571774,-0.22760515,-0.20949301,0.24491547,-0.5523927,-0.021055758,0.49925494,-0.302296,0.5644912,0.00094678625,0.73340905,0.11841309,0.13107121
CDKN2B-AS1,0.2911846,-0.7403251,0.91403455,-0.051468372,-1.3636676,-1.5412564,1.2572191,1.3089033,0.4111843,-0.37923133,-0.9870227,-1.0355082,-0.323191,-0.34780222,0.85392165,1.2714119,-0.13544406,-0.38436818,1.7590306,-1.0877708,-0.7535877,-1.0072937,0.8337885,0.29633304,-1.2464569,0.42079028,-0.28627634,1.0219138,0.074929655,0.2958322,-0.86892813,0.14728093,-1.8431766,-1.5223476,-0.3531131,-0.8845405,-0.458185,0.5753159,-0.36348173,-0.0034000278,-0.64357936,-0.39046973,-0.76005775,-1.2263665,-1.4431913,-0.7937891,-0.2868195,-0.09663999,0.054617107,0.169105,-0.23830593,-2.2331197,-0.5639008,0.4058772,0.13203096,0.44619918,0.4584959,-0.8260057,-1.5916412,0.35981107,-0.64770377,0.03562796,-1.2915956,-0.8134601
CRNDE,-0.051219508,-0.1691936,-0.58047146,-0.8628568,-0.21862108,0.34937268,-0.39375755,-0.035374165,0.12382631,0.1282338,0.2699359,-0.30177456,-0.053948224,-0.3168431,-0.17024805,0.13263714,0.47920313,-0.06899215,0.014219806,-0.4572767,-0.018052012,-0.5095501,-0.3142331,-0.15848505,-0.16243912,0.19010636,0.33797455,0.17541137,0.3509254,0.20869467,-0.17459063,0.14782622,-0.10461306,0.23160867,0.1290262,-0.14501615,0.25617245,0.48355854,-0.034679078,-0.07162299,-0.15354452,0.5241655,-0.66603863,0.08571246,0.02000482,0.07345071,-0.22597075,0.30762437,0.16715541,-0.02865541,0.4784558,-0.7728232,-0.07384139,0.10043108,-0.18844572,-0.11951798,-0.73513615,-0.57085526,-0.54501724,0.16163048,-0.65614504,-0.2554226,-0.5985094,-0.35625553
DANCR,0.1930916,-0.834658,0.7348722,-0.25406888,-0.6570892,0.37610677,0.40111744,-0.549303,-0.210686,-0.51820594,-0.34503984,-0.72522104,-0.6666575,-0.35130313,-0.31641677,0.2373584,-0.4476925,0.22596164,-0.61084694,-0.2933315,-0.5987524,-0.16759717,0.24888295,0.045146175,-0.7876712,-0.043625887,-0.19559976,0.6454309,-0.2438497,1.0770106,0.04966487,-0.41100228,-0.3618304,0.45106906,0.2019633,0.22794974,-0.49895024,0.64086455,-0.5579707,0.15964735,0.6857988,-0.1493795,0.7126106,-0.63656604,0.6238677,-1.0651168,-0.28383523,0.03638272,-0.022458848,-0.39158225,0.5122253,-0.8080354,0.39113694,-0.5145461,-0.2775612,-0.021368511,0.11292079,0.6665699,-0.8329594,0.33311066,0.50234115,0.5964637,0.28170732,0.39892977
DAOA-AS1,0.42418313,-0.0641235,0.10201777,-0.19207901,-0.5098631,0.21818034,0.5959426,-0.104105264,0.24071702,-0.30609334,-0.080160506,-0.4705055,-0.51404977,-0.0637796,0.058399204,0.4367206,-0.53071105,-0.02259766,-0.31030267,-0.3061165,-0.42956874,0.0014312956,-0.4305892,0.017175104,0.19601636,0.14921305,0.5019935,-0.073744416,-0.43250385,-0.12247069,-0.22661817,-0.5236828,-0.119016856,0.6973062,0.40670636,0.06993945,0.012211066,0.5725269,0.045413442,0.30991974,0.2432889,-0.11640141,0.60933363,0.0077218525,0.009897426,-0.42772782,-0.22267708,-0.047984876,0.0885457,-0.21263385,0.33494338,-0.011719253,-0.20325105,0.16397788,-0.07533269,0.61636317,0.5497506,0.4467449,-0.29300472,-0.30648538,0.1346041,0.13964511,0.08307647,-0.13283008
